date,open,close,high,low,volume,change,pct_change
2017-02-10,3398.3200,3413.4900,3422.3300,3398.0300,123768720,17.2000,0.0051
2017-02-13,3416.9200,3436.2700,3439.5400,3416.8700,120144538,22.7800,0.0067
2017-02-14,3438.5100,3435.8000,3440.6700,3424.4000,94809465,-0.4700,-0.0001
2017-02-15,3435.3900,3421.7100,3448.0300,3417.0800,127643338,-14.0900,-0.0041
2017-02-16,3421.8300,3440.9300,3440.9300,3418.3500,108276962,19.2200,0.0056
2017-02-17,3443.6200,3421.4400,3457.5600,3419.6100,114600036,-19.4900,-0.0057
2017-02-20,3421.6400,3471.3900,3472.6000,3421.6400,132628862,49.9500,0.0146
2017-02-21,3475.0600,3482.8200,3490.0900,3472.0200,114842009,11.4300,0.0033
2017-02-22,3483.2000,3489.7600,3489.9500,3473.5200,102815994,6.9400,0.0020
2017-02-23,3487.5700,3473.3200,3492.9600,3460.1200,99536330,-16.4400,-0.0047
2017-02-24,3468.9600,3473.8500,3473.8500,3455.2500,95535133,0.5300,0.0002
2017-02-27,3471.1300,3446.2200,3472.8400,3441.3900,98672160,-27.6300,-0.0080
2017-02-28,3445.0300,3452.8100,3460.9100,3441.3600,75215260,6.5900,0.0019
2017-03-01,3452.2100,3458.4400,3472.7000,3449.1100,103260354,5.6300,0.0016
2017-03-02,3463.4800,3435.1000,3468.4700,3434.0000,89898077,-23.3400,-0.0067
2017-03-03,3424.6600,3427.8600,3428.8800,3412.8300,80994652,-7.2400,-0.0021
2017-03-06,3427.2500,3446.4800,3449.0300,3425.9000,83070882,18.6200,0.0054
2017-03-07,3446.1600,3453.9600,3454.0400,3440.0600,80334720,7.4800,0.0022
2017-03-08,3452.2000,3448.7300,3457.0400,3441.2600,79587690,-5.2300,-0.0015
2017-03-09,3442.9000,3426.9400,3443.0500,3414.6800,84570381,-21.7900,-0.0063
2017-03-10,3423.9800,3427.8900,3436.2400,3423.9400,70016199,0.9500,0.0003
2017-03-13,3425.6700,3458.1000,3458.1000,3412.6900,91684124,30.2100,0.0088
2017-03-14,3456.6600,3456.6900,3465.3900,3448.9000,77077963,-1.4100,-0.0004
2017-03-15,3452.2100,3463.6400,3463.9200,3445.2700,79104954,6.9500,0.0020
2017-03-16,3472.2700,3481.5100,3492.1300,3472.2700,106333913,17.8700,0.0052
2017-03-17,3485.3100,3445.8100,3488.5000,3441.4700,103755560,-35.7000,-0.0103
2017-03-20,3449.0500,3449.6100,3454.0600,3429.8300,88734322,3.8000,0.0011
2017-03-21,3449.7700,3466.3500,3466.7000,3445.6400,87707855,16.7400,0.0049
2017-03-22,3450.7500,3450.0500,3464.3300,3433.5000,104935894,-16.3000,-0.0047
2017-03-23,3452.4100,3461.9800,3470.8200,3435.6900,94318062,11.9300,0.0035
2017-03-24,3464.2000,3489.6000,3499.3200,3461.1100,125645833,27.6200,0.0080
2017-03-27,3488.7600,3478.0400,3505.9800,3474.5200,107015377,-11.5600,-0.0033
2017-03-28,3480.2500,3469.8100,3482.2900,3461.4700,84194820,-8.2300,-0.0024
2017-03-29,3472.9700,3465.1900,3483.0600,3455.5500,104851706,-4.6200,-0.0013
